icao24,origin_country,velocity,on_ground
39de4f,France,168.51,False
4b1814,Switzerland,0.0,True
80162d,India,109.01,False
a798d1,United States,88.75,False
aa56db,United States,186.49,False
a7b08d,United States,125.39,False
a2e5ec,United States,207.35,False
7c6b2f,Australia,241.2,False
88044f,Thailand,203.87,False
4b1812,Switzerland,12.86,True
408121,United Kingdom,233.34,False
ade18c,United States,221.13,False
a77ec5,United States,0.0,True
abd9d9,United States,216.41,False
a678e9,United States,57.64,False
7c6b40,Australia,220.01,False
a5953a,United States,53.29,False
842194,Japan,109.45,False
a3b87f,United States,8.23,True
c07d20,Canada,152.58,False
ade199,United States,83.29,False
39de50,France,129.67,False
39de55,France,220.2,False
a678e5,United States,223.44,False
a305fd,United States,262.59,False
a58217,United States,188.5,False
4b1806,Switzerland,214.15,False
4b1807,Switzerland,0.0,True
aae312,United States,211.85,False
aa56d4,United States,179.35,False
aa56d5,United States,198.96,False
0d0c02,Mexico,231.99,False
801648,India,276.23,False
a53eef,United States,211.5,False
4b1802,Switzerland,0.0,True
7c6b31,Australia,205.24,False
acdfa6,United States,199.93,False
ac4963,United States,189.18,False
a71e29,United States,238.7,False
aae316,United States,238.99,False
a3ebe2,United States,50.68,False
7c6b39,Australia,64.78,False
4952cc,Portugal,226.8,False
7c6b37,Australia,226.19,False
4952cd,Portugal,216.11,False
4952ce,Portugal,231.73,False
7c6b36,Australia,119.3,False
a36898,United States,214.02,False
7c6b35,Australia,187.96,False
a41ee6,United States,260.72,False
a798f5,United States,46.24,False
a5954e,United States,203.37,False
7c6b0d,Australia,242.57,False
7c6b0c,Australia,235.34,False
a7e8bf,United States,224.56,False
a21b44,United States,177.2,False
aa8c10,United States,209.41,False
a6eb12,United States,240.65,False
4b181b,Switzerland,179.26,False
aa56b5,United States,130.73,False
aa4fbd,United States,38.21,False
aa56b8,United States,219.54,False
a1d8fd,United States,106.52,False
ad5622,United States,8.75,True
a1fb33,United States,202.55,False
a57b4d,United States,245.42,False
ad5623,United States,211.46,False
7c6b09,Australia,246.54,False
ab0347,United States,51.78,False
ad3c27,United States,122.63,False
a6c8cd,United States,202.06,False
4952c1,Portugal,231.1,False
440daf,Austria,16.98,True
ad5628,United States,66.56,False
801625,India,280.54,False
a22248,United States,20.59,False
a33b23,United States,217.63,False
c07d29,Canada,0.0,True
4b180c,Switzerland,113.58,False
acf9cf,United States,47.33,False
39de48,France,183.06,False
440db0,Austria,183.73,False
ac2f5a,United States,264.58,False
ae26a8,United States,63.81,False
ad694c,United States,246.25,False
801633,India,77.6,False
a33b1e,United States,222.72,False
39de40,France,121.37,False
a36878,United States,243.04,False
a545fc,United States,129.87,False
4952ac,Portugal,231.34,False
7c6b13,Australia,67.87,False
4952ad,Portugal,218.76,False
7c6b12,Australia,229.43,False
4b180b,Switzerland,0.0,True
44028c,Austria,217.13,False
adeca5,United States,1.54,True
ab0356,United States,212.12,False
ae26bb,United States,64.91,False
a2228b,United States,279.99,False
adeca0,United States,48.12,False
aad012,United States,139.35,False
ae26bd,United States,40.13,False
c822ed,New Zealand,89.65,False
